["Collections", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Objects and Classes", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Collections", "Objects and Classes"]	["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Inheritance"]
["Collections", "Inheritance", "Interfaces, Lambda Expressions, and Inner Classes"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Collections"]
["Collections", "Interfaces, Lambda Expressions, and Inner Classes", "Inheritance"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Collections", "Fundamental Programming Structures in Java", "Inheritance"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Collections", "Graphical User Interface Programming", "Objects and Classes"]	["Graphical User Interface Programming", "User Interface Components with Swing", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Concurrency"]	["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Interfaces, Lambda Expressions, and Inner Classes"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]
["Collections", "Fundamental Programming Structures in Java", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Collections"]	["Concurrency", "Exceptions, Assertions, and Logging", "Collections"]
["Graphical User Interface Programming", "Inheritance", "User Interface Components with Swing"]	["Graphical User Interface Programming", "User Interface Components with Swing", "Fundamental Programming Structures in Java"]
["Collections", "Objects and Classes", "Exceptions, Assertions, and Logging"]	["Exceptions, Assertions, and Logging", "Graphical User Interface Programming", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Collections", "Inheritance", "Generic Programming"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["Collections", "Inheritance", "Exceptions, Assertions, and Logging"]	["Collections", "Inheritance", "Objects and Classes"]
["Objects and Classes", "Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Graphical User Interface Programming"]
["Collections", "Generic Programming", "Inheritance"]	["Collections", "Inheritance", "Generic Programming"]
["Objects and Classes", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]	["Interfaces, Lambda Expressions, and Inner Classes", "Collections", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]	["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Graphical User Interface Programming"]	["User Interface Components with Swing", "Collections", "Graphical User Interface Programming"]
["Collections", "Fundamental Programming Structures in Java", "Objects and Classes"]	["Collections", "Fundamental Programming Structures in Java", "Objects and Classes"]
["Inheritance", "Collections", "Generic Programming"]	["Inheritance", "Collections", "Generic Programming"]
["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Inheritance"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Fundamental Programming Structures in Java", "Concurrency", "Inheritance"]
["Fundamental Programming Structures in Java", "Collections", "Objects and Classes"]	["Collections", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Collections", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Collections"]
["Generic Programming", "Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes"]	["Generic Programming", "Inheritance", "Collections"]
["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]
["Inheritance", "Fundamental Programming Structures in Java", "Collections"]	["Inheritance", "Collections", "Fundamental Programming Structures in Java"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Generic Programming", "Collections", "Objects and Classes"]	["Generic Programming", "Inheritance", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Concurrency", "Objects and Classes"]	["Concurrency", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Collections", "Inheritance", "Generic Programming"]	["Collections", "Exceptions, Assertions, and Logging", "Inheritance"]
["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Inheritance", "User Interface Components with Swing"]
["Generic Programming", "Collections", "Objects and Classes"]	["Collections", "Fundamental Programming Structures in Java", "Objects and Classes"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Concurrency"]	["Graphical User Interface Programming", "User Interface Components with Swing", "Objects and Classes"]
["Interfaces, Lambda Expressions, and Inner Classes", "Graphical User Interface Programming", "Objects and Classes"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Concurrency"]
["Collections", "Inheritance", "Generic Programming"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["Collections", "Inheritance", "Generic Programming"]	["Collections", "Inheritance", "Generic Programming"]
["Concurrency", "Collections", "Exceptions, Assertions, and Logging"]	["Concurrency", "Collections", "Exceptions, Assertions, and Logging"]
["Generic Programming", "Collections", "Inheritance"]	["Collections", "Generic Programming", "Inheritance"]
["Objects and Classes", "Generic Programming", "Interfaces, Lambda Expressions, and Inner Classes"]	["Generic Programming", "Objects and Classes", "Exceptions, Assertions, and Logging"]
["Inheritance", "Objects and Classes", "Fundamental Programming Structures in Java"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Collections", "Objects and Classes", "Generic Programming"]	["Collections", "Objects and Classes", "Generic Programming"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Collections", "Interfaces, Lambda Expressions, and Inner Classes", "Inheritance"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Collections"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Inheritance"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Concurrency", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Concurrency", "Objects and Classes"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
